Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,1.0441,-0.4352553007356122
2016년,7월,2016-07-01,0.9627,-0.5726840960539749
2016년,8월,2016-08-01,0.659,-0.665312341289995
2016년,9월,2016-09-01,0.7334,-0.5628799618548099
2016년,10월,2016-10-01,0.6746,-0.6319292885202968
2016년,11월,2016-11-01,0.6325,-0.5347554247885251
2016년,12월,2016-12-01,0.7885,-0.316131830008673
2017년,1월,2017-01-01,0.9524,-0.3085021418717781
2017년,2월,2017-02-01,0.8695,-0.2372137906833933
2017년,3월,2017-03-01,0.8483,-0.0392978482446205
2017년,4월,2017-04-01,0.9897,0.172908272102394
2017년,5월,2017-05-01,0.9467,-0.0051492223623371
2017년,6월,2017-06-01,0.9786,-0.0627334546499377
2017년,7월,2017-07-01,1.2059,0.2526228316194037
2017년,8월,2017-08-01,1.0156,0.541122913505311
2017년,9월,2017-09-01,1.0839,0.4779110989910009
2017년,10월,2017-10-01,1.2784,0.8950489178772607
2017년,11월,2017-11-01,0.9497,0.5015019762845849
2017년,12월,2017-12-01,0.9435,0.196575776791376
2018년,1월,2018-01-01,1.1655,0.2237505249895002
2018년,2월,2018-02-01,0.9399,0.0809660724554341
2018년,3월,2018-03-01,1.1276,0.329246728751621
2018년,4월,2018-04-01,1.3566,0.3707183995150045
2018년,5월,2018-05-01,1.3312,0.40614767085666
2018년,6월,2018-06-01,1.3396,0.3688943388514203
2018년,7월,2018-07-01,1.4645,0.2144456422588938
2018년,8월,2018-08-01,1.5463,0.5225482473414731
2018년,9월,2018-09-01,1.4241,0.3138665928591198
2018년,10월,2018-10-01,1.5737,0.2309918648310387
2018년,11월,2018-11-01,1.4001,0.4742550279035484
2018년,12월,2018-12-01,1.2663,0.3421303656597774
2019년,1월,2019-01-01,1.6661,0.4295152295152296
2019년,2월,2019-02-01,1.5147,0.6115544206830514
2019년,3월,2019-03-01,1.6326,0.4478538488825825
2019년,4월,2019-04-01,1.6641,0.2266696152145069
2019년,5월,2019-05-01,1.9091,0.4341195913461537
