Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,2.7667,0.0671526652780991
2016년,7월,2016-07-01,3.4429,-0.0769457626209818
2016년,8월,2016-08-01,4.2117,-0.0092914941663529
2016년,9월,2016-09-01,2.9565,0.09443251647294
2016년,10월,2016-10-01,3.4025,0.0570052811432122
2016년,11월,2016-11-01,3.3975,-0.006578947368421
2016년,12월,2016-12-01,4.2305,-0.0146274427596487
2017년,1월,2017-01-01,5.3139,-0.1419921528102949
2017년,2월,2017-02-01,4.1699,-0.1193267017254852
2017년,3월,2017-03-01,3.5802,0.1714164185452997
2017년,4월,2017-04-01,3.0415,-0.025722339675828
2017년,5월,2017-05-01,2.7947,-0.0459495442597207
2017년,6월,2017-06-01,2.946,0.0648064481150829
2017년,7월,2017-07-01,4.2349,0.2300386302245201
2017년,8월,2017-08-01,4.6701,0.1088396609445117
2017년,9월,2017-09-01,4.0339,0.3644173854219517
2017년,10월,2017-10-01,4.311,0.2670095518001469
2017년,11월,2017-11-01,4.2531,0.2518322295805739
2017년,12월,2017-12-01,5.1036,0.2063822243233659
2018년,1월,2018-01-01,6.8621,0.2913491032951316
2018년,2월,2018-02-01,5.6077,0.3448044317609535
2018년,3월,2018-03-01,4.2362,0.1832299871515557
2018년,4월,2018-04-01,3.6684,0.206115403583758
2018년,5월,2018-05-01,4.1825,0.4965828174759366
2018년,6월,2018-06-01,4.646,0.5770536320434487
2018년,7월,2018-07-01,6.4496,0.5229639424779806
2018년,8월,2018-08-01,6.1224,0.3109783516412925
2018년,9월,2018-09-01,4.5255,0.1218671756860605
2018년,10월,2018-10-01,4.7754,0.1077244258872651
2018년,11월,2018-11-01,5.2851,0.2426465401706989
2018년,12월,2018-12-01,5.3174,0.0418919978054705
2019년,1월,2019-01-01,7.4964,0.0924352603430436
2019년,2월,2019-02-01,6.4366,0.1478146120512866
2019년,3월,2019-03-01,4.7497,0.1212171285586138
2019년,4월,2019-04-01,3.9966,0.0894667975139025
2019년,5월,2019-05-01,4.3894,0.0494680215182308
