Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,4.3766,0.1767268034307532
2016년,7월,2016-07-01,5.47,0.1307493540051678
2016년,8월,2016-08-01,6.2018,0.0256333928689553
2016년,9월,2016-09-01,3.7742,-0.0338171671402606
2016년,10월,2016-10-01,3.4346,-0.3209837491597801
2016년,11월,2016-11-01,3.6314,-0.192806970747755
2016년,12월,2016-12-01,3.8601,-0.1387742352914928
2017년,1월,2017-01-01,6.0247,-0.1878269075222431
2017년,2월,2017-02-01,6.0174,0.0447781925514367
2017년,3월,2017-03-01,4.3942,0.072828926487463
2017년,4월,2017-04-01,4.8829,0.1806992939355838
2017년,5월,2017-05-01,5.2762,0.1742633312561203
2017년,6월,2017-06-01,4.9487,0.1307179088790384
2017년,7월,2017-07-01,5.8326,0.0662888482632542
2017년,8월,2017-08-01,6.0957,-0.0171079364055596
2017년,9월,2017-09-01,4.7602,0.2612474166710825
2017년,10월,2017-10-01,5.343,0.5556396669190007
2017년,11월,2017-11-01,5.2123,0.4353417414771163
2017년,12월,2017-12-01,4.3484,0.1264993134892877
2018년,1월,2018-01-01,7.5502,0.2532076285956146
2018년,2월,2018-02-01,5.3161,-0.1165453518130754
2018년,3월,2018-03-01,4.9127,0.1179964498657322
2018년,4월,2018-04-01,4.455,-0.0876323496282946
2018년,5월,2018-05-01,4.672,-0.1145142337288199
2018년,6월,2018-06-01,4.5325,-0.0841028957099844
2018년,7월,2018-07-01,5.7823,-0.0086239412954771
2018년,8월,2018-08-01,6.2729,0.0290696720639138
2018년,9월,2018-09-01,4.7734,0.0027729927313977
2018년,10월,2018-10-01,5.3926,0.0092831742466779
2018년,11월,2018-11-01,5.0634,-0.0285670433397924
2018년,12월,2018-12-01,4.2223,-0.0289991721092816
2019년,1월,2019-01-01,7.2704,-0.037058620963683
2019년,2월,2019-02-01,6.2241,0.1708019036511727
2019년,3월,2019-03-01,4.7168,-0.0398762391353023
2019년,4월,2019-04-01,3.9464,-0.1141638608305275
2019년,5월,2019-05-01,4.3561,-0.0676155821917808
