Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,10.5083,0.5234940195723088
2016년,7월,2016-07-01,10.9094,0.3244385091659585
2016년,8월,2016-08-01,11.4727,0.18778535858120482
2016년,9월,2016-09-01,11.3351,0.31775907368225265
2016년,10월,2016-10-01,11.1226,0.09231434014888151
2016년,11월,2016-11-01,12.3855,0.13837316176470593
2016년,12월,2016-12-01,13.2878,0.1143930626142673
2017년,1월,2017-01-01,14.6326,-0.004327649324315175
2017년,2월,2017-02-01,15.0226,0.17367730241570056
2017년,3월,2017-03-01,12.1401,0.2510021330750285
2017년,4월,2017-04-01,11.1391,0.0783774626070961
2017년,5월,2017-05-01,11.5183,0.07791721646686689
2017년,6월,2017-06-01,11.0875,0.05511833503040453
2017년,7월,2017-07-01,11.0754,0.015216235539992962
2017년,8월,2017-08-01,12.1041,0.055034996121226865
2017년,9월,2017-09-01,10.2433,-0.09632027948584487
2017년,10월,2017-10-01,13.7957,0.24033049826479425
2017년,11월,2017-11-01,12.8185,0.034960235759557534
2017년,12월,2017-12-01,13.1898,-0.007375186261081579
2018년,1월,2018-01-01,16.8152,0.14916009458332757
2018년,2월,2018-02-01,12.2667,-0.18345026826248456
2018년,3월,2018-03-01,12.7261,0.04826978360969014
2018년,4월,2018-04-01,10.6526,-0.043674982718531985
2018년,5월,2018-05-01,11.1738,-0.029908927532708796
2018년,6월,2018-06-01,9.626,-0.13181510710259303
2018년,7월,2018-07-01,9.8776,-0.10814959279123104
2018년,8월,2018-08-01,11.2959,-0.06677076362554835
2018년,9월,2018-09-01,10.0119,-0.02259037614831161
2018년,10월,2018-10-01,11.14,-0.19250201149633583
2018년,11월,2018-11-01,12.8753,0.004431095682022157
2018년,12월,2018-12-01,13.68,0.037165082108902237
2019년,1월,2019-01-01,16.1115,-0.04184904134354628
2019년,2월,2019-02-01,14.3804,0.17231203176078336
2019년,3월,2019-03-01,13.6225,0.07043791892252926
2019년,4월,2019-04-01,9.771,-0.08275913861404727
2019년,5월,2019-05-01,10.6017,-0.05120012887289915
