Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,60.6162,0.065541408775535
2018년,7월,2018-07-01,60.7953,-0.0560117138127963
2018년,8월,2018-08-01,59.3941,-0.0434253926532925
2018년,9월,2018-09-01,47.9733,-0.1385420688292915
2018년,10월,2018-10-01,57.1176,-0.0801370833709109
2018년,11월,2018-11-01,58.8213,-0.055237357935381
2018년,12월,2018-12-01,68.1566,0.0039195469174626
2019년,1월,2019-01-01,77.9383,-0.0303962598405604
2019년,2월,2019-02-01,71.5804,0.0105686993694922
2019년,3월,2019-03-01,58.5586,-0.0542800664086977
2019년,4월,2019-04-01,56.6624,-0.1126020519229534
2019년,5월,2019-05-01,60.3394,-0.0577195461892231
