Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,2.1556,0.2473093391968521
2016년,7월,2016-07-01,2.5272,0.0473703841850055
2016년,8월,2016-08-01,2.541,-0.0218270008084073
2016년,9월,2016-09-01,2.0202,0.0817091454272864
2016년,10월,2016-10-01,2.4164,-0.1112582294310199
2016년,11월,2016-11-01,2.7507,-0.039056768558952
2016년,12월,2016-12-01,4.1641,-0.0260098706523518
2017년,1월,2017-01-01,5.7684,-0.0377179080824088
2017년,2월,2017-02-01,4.3815,0.0011653413764738
2017년,3월,2017-03-01,2.6243,-0.057329645461403
2017년,4월,2017-04-01,2.1876,-0.0227820959528276
2017년,5월,2017-05-01,2.0119,0.1491318254512224
2017년,6월,2017-06-01,2.0573,-0.0456021525329374
2017년,7월,2017-07-01,2.5091,-0.007162076606521
2017년,8월,2017-08-01,2.2704,-0.1064935064935065
2017년,9월,2017-09-01,1.8357,-0.0913275913275912
2017년,10월,2017-10-01,2.2542,-0.0671246482370468
2017년,11월,2017-11-01,2.9444,0.0704184389428146
2017년,12월,2017-12-01,3.6633,-0.1202660839076871
2018년,1월,2018-01-01,5.0541,-0.1238298314957353
2018년,2월,2018-02-01,4.0116,-0.084423142759329
2018년,3월,2018-03-01,3.5399,0.3488930381435049
2018년,4월,2018-04-01,1.8858,-0.1379594075699396
2018년,5월,2018-05-01,1.443,-0.2827675331775933
2018년,6월,2018-06-01,1.5256,-0.2584455354104894
2018년,7월,2018-07-01,1.7107,-0.3182017456458491
2018년,8월,2018-08-01,1.7822,-0.2150281888653982
2018년,9월,2018-09-01,1.3457,-0.2669281473007572
2018년,10월,2018-10-01,1.6045,-0.2882175494632242
2018년,11월,2018-11-01,2.2282,-0.2432414074174704
2018년,12월,2018-12-01,4.0457,0.1043867551115114
2019년,1월,2019-01-01,4.1364,-0.1815753546625511
2019년,2월,2019-02-01,3.1053,-0.2259198324857911
2019년,3월,2019-03-01,2.2852,-0.3544450408203622
2019년,4월,2019-04-01,1.5325,-0.1873475448085693
2019년,5월,2019-05-01,1.4007,-0.0293139293139292
