Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,4.6957,0.49516016047888933
2016년,7월,2016-07-01,5.1992,0.4032928475033739
2016년,8월,2016-08-01,5.7739,0.3209563029055136
2016년,9월,2016-09-01,5.5075,0.5204428125776441
2016년,10월,2016-10-01,5.2104,0.22106348573972956
2016년,11월,2016-11-01,6.2009,0.34594430335786064
2016년,12월,2016-12-01,7.0706,0.28893831121481695
2017년,1월,2017-01-01,8.1448,0.176603152131517
2017년,2월,2017-02-01,8.2764,0.3134432577404662
2017년,3월,2017-03-01,6.5393,0.5691181763647271
2017년,4월,2017-04-01,6.4924,0.4870021300474108
2017년,5월,2017-05-01,7.2205,0.5008626244569623
2017년,6월,2017-06-01,6.6758,0.4216836680367144
2017년,7월,2017-07-01,7.4129,0.4257770426219418
2017년,8월,2017-08-01,7.5548,0.30843970280053346
2017년,9월,2017-09-01,6.094,0.10649114843395369
2017년,10월,2017-10-01,8.0528,0.5455243359434976
2017년,11월,2017-11-01,7.2475,0.1687819510071118
2017년,12월,2017-12-01,7.7141,0.09101066387576728
2018년,1월,2018-01-01,9.7861,0.20151507710441008
2018년,2월,2018-02-01,7.1633,-0.13449084142864043
2018년,3월,2018-03-01,7.0585,0.07939687734161138
2018년,4월,2018-04-01,6.1106,-0.05880722075041589
2018년,5월,2018-05-01,6.498,-0.10006232255383973
2018년,6월,2018-06-01,5.7787,-0.13438089816950782
2018년,7월,2018-07-01,5.9451,-0.1980061784187025
2018년,8월,2018-08-01,6.6052,-0.12569492243341984
2018년,9월,2018-09-01,5.8246,-0.04420741713160481
2018년,10월,2018-10-01,6.024,-0.25193721438505856
2018년,11월,2018-11-01,6.7685,-0.06609175577785442
2018년,12월,2018-12-01,7.7216,0.0009722456281355818
2019년,1월,2019-01-01,9.9463,0.01637015767261718
2019년,2월,2019-02-01,8.6179,0.20306283416860937
2019년,3월,2019-03-01,7.6409,0.08251044839555144
2019년,4월,2019-04-01,6.1573,0.007642457369161804
2019년,5월,2019-05-01,6.5763,0.01204986149584486
