Year,month,법무부_명수,법무부_전년대비,일본_명수,일본_전년대비,중국_명수,중국_전년대비,베트남_명수,베트남_전년대비,태국_명수,태국_전년대비,필리핀_명수,필리핀_전년대비,홍콩_명수,홍콩_전년대비,대만_명수,대만_전년대비,마카오_명수,마카오_전년대비,싱가폴_명수,싱가폴_전년대비,말레이시아_명수,말레이시아_전년대비,인도네시아_명수,인도네시아_전년대비,캄보디아_명수,캄보디아_전년대비,라오스_명수,라오스_전년대비,튀르키예_명수,튀르키예_전년대비,인도_명수,인도_전년대비,몽골_명수,몽골_전년대비,미얀마_명수,미얀마_전년대비,이스라엘_명수,이스라엘_전년대비,몰디브_명수,몰디브_전년대비,스리랑카_명수,스리랑카_전년대비,사이프러스_명수,사이프러스_전년대비,부탄_명수,부탄_전년대비,요르단_명수,요르단_전년대비,네팔_명수,네팔_전년대비,예멘_명수,예멘_전년대비
,10월,848088,0.11953195747276044,146650,0.19346989265688452,314111,0.151433284457478,27588,,75330,-0.02883958384364485,42044,0.42788249278315504,57183,0.17211905054728815,14055,0.18999237998475996,9594,0.43450956937799046,30060,0.11597861597861597,11202,0.07680476785542632,18038,0.1388345223814635,,,,,,,,,,,,,1838,0.2880168185003504,,,,,0,,,,,,,,,
,11월,784031,0.051139113565459644,140442,0.09404918633003295,255440,0.04802776797656461,27656,,81795,-0.20626679993401326,47685,0.2135440525271033,53115,-0.048493425531152594,15199,0.09510771669428633,10870,0.45847309808130954,31277,-0.010941403408911235,14208,0.5818303273213092,30936,0.6231701558318904,,,,,,,,,,,,,907,0.08233890214797136,,,,,20,,,,,,,,,
,12월,790681,0.0895470148009431,142015,0.17545544087338702,234074,0.040328888888888886,27472,,84351,-0.06238120116047709,50643,0.3286546332248925,58084,0.13582854237553288,14405,0.10858857934431276,14479,0.8850410102851192,32803,0.15731724527236804,14602,0.3588311930020473,17797,-0.3296293506102155,,,,,,,,,,,,,1845,1.5308641975308641,,,,,0,,,,,,,,,
2006년,1월,985287,0.09792780525202639,192590,0.101931054212559,268689,-0.10870170969090222,38758,0.5303640527521124,118919,1.2551581582340894,58583,0.298094393972967,60723,0.1319836698171243,20001,0.04101389684068079,18451,0.4206190329534955,40604,0.991759050328657,15051,0.31323619230433647,23988,0.5253719954215949,,,,,,,22601,0.546,55523,0.8034560041575989,1316,,3615,0.10213414634146341,,,660,,0,-,,,11824,0.3581438088674478,,,,
,2월,944596,0.2662178718977799,174239,0.16981322089884926,322009,0.2205540099006148,42231,0.6081261185788812,113858,1.076980608912968,47678,0.3287071872474432,59013,0.27869385278758857,18518,0.17986619942656898,18200,0.8797769055980169,40835,0.6646284293343117,17705,0.42208835341365464,23621,0.20792636154436206,,,,,,,,,,,1127,,5782,0.7796244998461065,,,451,,0,-,,,,,,,,
,3월,823918,0.16527639882442458,149071,0.13826806044455303,270025,0.0442367336205363,40629,0.7279377365712585,91948,0.7720133361598798,38507,0.1856333518073774,53903,0.2681268526796217,15970,0.1781630394688307,12279,0.737512381491439,36144,0.5396149258817515,15529,0.2980857644403578,22605,0.3049125440166253,,,,,,,,,,,1115,,3560,1.2319749216300941,,,482,,0,-1,,,,,,,,
,4월,855083,0.12201481178224266,162657,0.33233675174470034,296361,0.012179169726258987,33282,0.2836315951866708,76343,0.5992081779714273,39115,0.1443826799297836,55107,0.07093301202946149,13682,-0.0832216563923881,10509,0.2776899696048632,31780,0.09877951803063306,14233,0.30267252425407287,23086,0.1113999614866166,,,,,,,10772,0.301,,,684,,2660,0.43628509719222464,,,322,,0,-1,,,,,,,,
,5월,906482,0.12957680838682262,161080,0.41111334986114884,318514,0.04984656763054936,27155,0.11868666062453655,79708,0.28509471987101975,41376,0.10306584910690475,52803,0.03877478753541076,14007,-0.13360549267025423,10705,0.17740871095468544,34236,0.18353095723718327,12685,0.05479793780143023,24454,0.06576596208324254,,,,,,,,,,,1106,,2172,0.26352530541012215,,,375,,9,-,,,,,,,,
,6월,915942,0.05804482651471134,153706,0.15414823881000472,309209,0.013657090967502943,25839,-0.08333333333333333,77669,0.01885035155840067,42158,0.05924623115577887,52135,-0.09417079315437407,16478,-0.026065370293752586,10482,0.1336794289422453,36327,0.12238151146264599,13686,0.2887005649717514,22741,0.05048965262379897,,,,,,,,,,,2143,,1823,-0.25439672801635993,,,361,,13,-,,,,,,,,
,7월,1098740,0.07639722284539807,197622,0.15961741579626804,363925,0.08294896592768933,28534,0.11356540743053388,89563,0.0824238908427299,53891,0.14018830001057858,60239,0.03890795578014246,14462,0.015803891269228067,13314,0.3008304836345872,45685,0.06340634528991411,15781,-0.027485055771245454,23438,-0.22585546307306117,,,,,,,16827,0.333,,,2857,,1704,0.006497341996455995,,,581,,0,-,,,,,,,,
,8월,1159874,0.0837016917860503,220332,0.13996864636096007,407126,0.03469343668593938,37756,0.16502098247346333,96122,0.09163799075556767,47251,0.019087262218004497,67950,0.09708251933416213,16598,0.03144419587372607,15697,0.34070720874615645,44846,0.04802411722091094,18751,0.03785908009077323,25713,-0.06498181818181818,,,,,,,,,,,3096,,974,-0.7783340919435594,,,637,,0,-,,,,,,,,
,9월,931946,0.1863626584719731,156451,0.20098411747998374,334169,0.17441835945736978,32012,0.3933405875952122,68166,0.15940402081845087,37921,0.24408648010235878,51784,-0.004804550870584618,13004,0.07863304578633046,9321,0.23407917383820998,29315,0.14637103081495387,14846,0.029185441941074523,22375,0.07365642994241843,,,,,,,,,,,872,,1068,-0.0028011204481792717,,,411,,16,-,,,,,,,,
,10월,984649,0.16102220524285216,187601,0.27924309580634166,371216,0.18179879087329,32746,0.18696534725242858,77956,0.03485994955529006,46359,0.10263057749024829,61428,0.07423534966685903,16737,0.19082177161152614,11394,0.18761726078799248,35025,0.16516966067864272,14249,0.27200499910730225,24307,0.3475440736223528,,,,,,,20207,0.411,,,1174,,1781,-0.031011969532100107,,,232,,0,-,,,,,,,,
,11월,987488,0.25950121870181153,177298,0.26242861821962093,333138,0.30417319135609144,39434,0.42587503615851896,100890,0.23344947735191637,58438,0.22550068155604497,64470,0.21378141767862185,17763,0.16869530890190143,13406,0.23330266789328427,43791,0.4001023116027752,19820,0.39498873873873874,32861,0.06222523920351694,,,,,,,,,,,1396,,1682,0.8544652701212789,,,441,,10,-0.5,,,,,,,,
,12월,1015874,0.28480891788218005,184678,0.30041192831743124,327636,0.39971120244025393,43428,0.5808095515433896,101641,0.2049768230370713,60856,0.20166656793633875,79203,0.36359410508918116,19040,0.32176327664005555,18951,0.3088611091926238,36134,0.10154559034234674,17128,0.17299000136967538,29039,0.6316794965443614,,,,,,,,,,,1379,,1214,-0.34200542005420054,,,345,,0,-,,,,,,,,
2007년,1월,1281530,0.30066670929384026,240350,0.2479879536839919,410312,0.5270889392569104,48442,0.24985809381289023,126492,0.06368200203499862,70733,0.20739805062902206,79438,0.3082028226536897,24548,0.2273386330683466,25627,0.3889220096471736,46756,0.15151216628903555,27254,0.8107766925785662,33501,0.39657328664332164,47808,,,,,,27236,0.20507942126454592,43930,-0.20879635466383306,2405,0.8275075987841944,4910,0.3582295988934993,,,759,0.15,0,-,,,12811,0.08347428958051428,2548,,178,
,2월,982591,0.04022354530402415,202365,0.16142195490102676,349648,0.0858330046675714,44722,0.0589851057280197,86443,-0.24078237804985156,49579,0.03987163891102807,64272,0.08911595750088963,18583,0.003510098282751917,16886,-0.0721978021978022,31464,-0.2294845108362924,19973,0.12809940694719005,22552,-0.0452563396977266,34676,,,,,,,,,,1348,0.1960958296362023,4526,-0.21722587340020755,,,396,-0.12195121951219512,0,-,,,,,1261,,115,
,3월,1046055,0.27,188721,0.2659806400976716,392147,0.45226182760855477,49367,0.21506805483767752,96387,0.048277287162309133,51404,0.33492611732931676,64220,0.1913993655269651,20390,0.2767689417658109,14218,0.15791188207508755,42071,0.1639829570606463,19756,0.2722003992530105,26946,0.1920371599203716,38827,,,,,,,,,,1541,0.3820627802690584,3730,0.047752808988764044,,,289,-0.4004149377593361,16,-,,,,,996,,105,
